"customer_key","customer_number","customer_name","age","age_group","customer_segment","last_order_date","recency","total_order","total_sales","total_quantity","total_product","lifespan","avg_order","avg_monthly_spend"
0,"","",0,"50 and above","VIP","2013-12-14",138,35,56004.0,79.0,42,27,1600.1143,2074.0
1,"AW00011000","Jon Yang",53,"50 and above","VIP","2013-05-03",146,3,8249.0,8.0,8,27,2749.6667,306.0
2,"AW00011001","Eugene Huang",49,"40-49","VIP","2013-12-10",138,3,6384.0,11.0,10,34,2128.0,188.0
3,"AW00011002","Ruben Torres",54,"50 and above","VIP","2013-02-23",148,3,8114.0,4.0,4,25,2704.6667,325.0
4,"AW00011003","Christy Zhu",51,"50 and above","VIP","2013-05-10",145,3,8139.0,9.0,9,28,2713.0,291.0
5,"AW00011004","Elizabeth Johnson",45,"40-49","VIP","2013-05-01",146,3,8196.0,6.0,6,27,2732.0,304.0
6,"AW00011005","Julio Ruiz",48,"40-49","VIP","2013-05-02",146,3,8121.0,6.0,6,28,2707.0,290.0
7,"AW00011006","Janet Alvarez",48,"40-49","VIP","2013-05-14",145,3,8119.0,5.0,5,27,2706.3333,301.0
8,"AW00011007","Marco Mehta",55,"50 and above","VIP","2013-03-19",147,3,8211.0,8.0,8,26,2737.0,316.0
9,"AW00011008","Rob Verhoff",50,"50 and above","VIP","2013-03-02",148,3,8106.0,7.0,7,25,2702.0,324.0
10,"AW00011009","Shannon Carlson",55,"50 and above","VIP","2013-05-09",145,3,8091.0,5.0,5,27,2697.0,300.0
11,"AW00011010","Jacquelyn Suarez",55,"50 and above","VIP","2013-05-23",145,3,8088.0,4.0,4,28,2696.0,289.0
12,"AW00011011","Curtis Lu",56,"50 and above","VIP","2013-03-19",147,3,8133.0,4.0,4,26,2711.0,313.0
13,"AW00011012","Lauren Walker",46,"40-49","New","2013-10-15",140,2,81.0,5.0,5,6,40.5,14.0
14,"AW00011013","Ian Jenkins",45,"40-49","New","2014-01-21",137,2,114.0,5.0,5,9,57.0,13.0
15,"AW00011014","Sydney Bennett",51,"50 and above","New","2013-04-30",146,2,138.0,6.0,5,1,69.0,138.0
16,"AW00011015","Chloe Young",40,"40-49","New","2013-01-18",149,1,2501.0,3.0,3,0,2501.0,2501.0
17,"AW00011016","Wyatt Hill",40,"40-49","New","2013-02-09",148,1,2332.0,3.0,3,0,2332.0,2332.0
18,"AW00011017","Shannon Wang",75,"50 and above","VIP","2013-10-14",140,3,6434.0,4.0,4,33,2144.6667,195.0
19,"AW00011018","Clarence Rai",69,"50 and above","VIP","2013-10-24",140,3,6533.0,7.0,7,33,2177.6667,198.0
20,"AW00011019","Luke Lal",41,"40-49","New","2014-01-12",137,17,880.0,33.0,20,11,51.7647,80.0
21,"AW00011020","Jordan King",41,"40-49","New","2012-12-29",150,1,2317.0,2.0,2,0,2317.0,2317.0
22,"AW00011021","Destiny Wilson",41,"40-49","New","2013-01-23",149,1,2372.0,3.0,3,0,2372.0,2372.0
23,"AW00011022","Ethan Zhang",41,"40-49","New","2013-01-20",149,1,2322.0,2.0,2,0,2322.0,2322.0
24,"AW00011023","Seth Edwards",41,"40-49","New","2014-01-14",137,2,122.0,6.0,6,10,61.0,12.0
25,"AW00011024","Russell Xie",41,"40-49","New","2013-07-26",143,2,56.0,6.0,5,0,28.0,56.0
26,"AW00011025","Alejandro Beck",74,"50 and above","VIP","2013-10-25",140,3,6577.0,6.0,6,33,2192.3333,199.0
27,"AW00011026","Harold Sai",73,"50 and above","VIP","2013-10-15",140,3,6575.0,7.0,7,32,2191.6667,205.0
28,"AW00011027","Jessie Zhao",73,"50 and above","VIP","2013-10-24",140,3,6591.0,9.0,9,33,2197.0,200.0
29,"AW00011028","Jill Jimenez",73,"50 and above","VIP","2013-10-07",140,3,6474.0,5.0,5,32,2158.0,202.0
30,"AW00011029","Jimmy Moreno",73,"50 and above","VIP","2013-11-11",139,3,6565.0,7.0,7,33,2188.3333,199.0
31,"AW00011030","Bethany Yuan",67,"50 and above","VIP","2013-11-09",139,3,6471.0,4.0,4,33,2157.0,196.0
32,"AW00011031","Theresa Ramos",72,"50 and above","VIP","2013-11-13",139,3,6478.0,6.0,6,33,2159.3333,196.0
33,"AW00011032","Denise Stone",72,"50 and above","VIP","2013-11-08",139,3,6525.0,10.0,10,32,2175.0,204.0
34,"AW00011033","Jaime Nath",66,"50 and above","VIP","2013-11-05",140,3,6495.0,7.0,7,32,2165.0,203.0
35,"AW00011034","Ebony Gonzalez",72,"50 and above","VIP","2013-11-10",139,3,6491.0,4.0,4,33,2163.6667,197.0
36,"AW00011035","Wendy Dominguez",71,"50 and above","VIP","2013-11-15",139,3,6451.0,5.0,5,33,2150.3333,195.0
37,"AW00011036","Jennifer Russell",41,"40-49","New","2013-01-22",149,1,2355.0,2.0,2,0,2355.0,2355.0
38,"AW00011037","Chloe Garcia",42,"40-49","New","2013-01-20",149,1,2374.0,7.0,7,0,2374.0,2374.0
39,"AW00011038","Diana Hernandez",71,"50 and above","VIP","2013-11-12",139,3,6437.0,3.0,3,33,2145.6667,195.0
40,"AW00011039","Marc Martin",71,"50 and above","VIP","2013-11-11",139,3,6636.0,9.0,8,33,2212.0,201.0
